fecha,ventas_clp
2020-01-01,37947147.0
2020-02-01,41980605.0
2020-03-01,40379875.0
2020-04-01,46964215.0
2020-05-01,42910238.0
2020-06-01,43941386.0
2020-07-01,49608015.0
2020-08-01,45541643.0
2020-09-01,52491079.0
2020-10-01,50933430.0
2020-11-01,47982796.0
2020-12-01,51967293.0
2021-01-01,47120305.0
2021-02-01,39067477.0
2021-03-01,40924203.0
2021-04-01,44843179.0
2021-05-01,43261412.0
2021-06-01,53362462.0
2021-07-01,51613389.0
2021-08-01,45071256.0
2021-09-01,55366981.0
2021-10-01,53133507.0
2021-11-01,58094630.0
2021-12-01,60092174.0
2022-01-01,44171081.0
2022-02-01,45749820.0
2022-03-01,48250082.0
2022-04-01,53368514.0
2022-05-01,52685623.0
2022-06-01,57287755.0
2022-07-01,58509134.0
2022-08-01,58975129.0
2022-09-01,57326038.0
2022-10-01,56994783.0
2022-11-01,62015578.0
2022-12-01,70822132.0
2023-01-01,57337440.0
2023-02-01,51196679.0
2023-03-01,56346279.0
2023-04-01,60640233.0
2023-05-01,62750518.0
2023-06-01,60672439.0
2023-07-01,59167177.0
2023-08-01,59355702.0
2023-09-01,58014596.0
2023-10-01,61109854.0
2023-11-01,64145232.0
2023-12-01,78080889.0
2024-01-01,64042220.5
2024-02-01,50003552.0
2024-03-01,65942827.0
2024-04-01,67344214.0
2024-05-01,67912327.0
2024-06-01,71615984.0
2024-07-01,66326889.0
2024-08-01,64575490.0
2024-09-01,65014146.0
2024-10-01,70572272.0
2024-11-01,74564357.0
2024-12-01,80983706.0
2025-01-01,59152184.0
2025-02-01,58667764.0
2025-03-01,63254089.0
2025-04-01,64186322.0
2025-05-01,68396417.0
2025-06-01,78008643.0
2025-07-01,68212498.0
2025-08-01,72015883.0
2025-09-01,72481961.0
2025-10-01,72961798.0
2025-11-01,74933540.0
2025-12-01,87383524.0
